titulo,ano,abstract
Brexit and UK Energy Security: Perspectives from Unconventional Gas Investment and the Effects of Shale Gas on UK Energy Prices,2019,"Many aspects of the present and future effects on the UK economy, industry, and households, of Brexit have been researched. One thing which appears certain about Brexit is the shadow of uncertainty it casts on the future of business in the UK and its telling effects on the UK economy. It is believed that Brexit has negatively affected the level of investments in the UK, including investments in energy and crucially the upstream oil and gas, with the UK North Sea being starved of investments since 2014, leading already to increased energy bills. The UK is a net importer of natural gas—a major source of its energy, with some dependence on supplies from interconnectors from Europe. At the same time, UK energy companies participate in the common energy market which enables them to undertake arbitrage trading under the common market rules. However, both of these benefits could be lost under a Brexit scenario where the UK and EU come to a no-deal or hard border arrangement. Meanwhile, domestic production of energy in the UK has declined for nearly two decades now and import bills for natural gas are growing—they were £14.2 billion in 2017; £11.7 billion in 2016 and £13.4 billion in 2015—with Government projections indicating an upward trajectory for natural gas imports. It is however believed that the UK has great potential to exploit shale gas to her advantage in order to reduce her reliance on foreign energy which is: (1) less predictable in terms of supply and price affordability and (2) dependent on exchange rates—a primary means through which energy prices increased in 2016/17 post-Brexit referendum vote. The current study extends discussions on shale gas to cover a review of the potential of natural gas from shale formations to cushion UK households against further erratic gas prices due to Brexit and also assesses the potential effects Brexit may have had on the level of investments in shale gas, in order to suggest policy options for government consideration. Contrary to popular studies, we find evidence to suggest that shale gas has the potential to reduce energy prices for UK businesses and households at commercial extractions, under both hard and soft Brexit scenarios, but with more benefits under hard Brexit. Importantly, we find that from 2008 to 2017, average UK net export of natural gas was 5,191 GWh per year to the EU. We also find and argue that Brexit may have starved the nascent fracking industry of investments in a similar way it did to investments in conventional oil and gas and could have increased investor risk premium for shale gas development, the ultimate effect of which was a categorisation of fracking (company stock) as riskier asset for investors on the London Stock Exchange. We recommend that shale gas development be expedited to maximise its benefits to UK energy consumers post-Brexit or economic benefits from the resource could be diminished by rising operator costs due to delays and effects of the public’s perceived negative opinion of the method of extraction."
"Communicating Low‐Probability High‐Consequence Risk, Uncertainty and Expert Confidence: Induced Seismicity of Deep Geothermal Energy and Shale Gas",2018,"Subsurface energy activities entail the risk of induced seismicity including low-probability high-consequence (LPHC) events. For designing respective risk communication, the scientific literature lacks empirical evidence of how the public reacts to different written risk communication formats about such LPHC events and to related uncertainty or expert confidence. This study presents findings from an online experiment (N = 590) that empirically tested the public's responses to risk communication about induced seismicity and to different technology frames, namely deep geothermal energy (DGE) and shale gas (between-subject design). Three incrementally different formats of written risk communication were tested: (i) qualitative, (ii) qualitative and quantitative, and (iii) qualitative and quantitative with risk comparison. Respondents found the latter two the easiest to understand, the most exact, and liked them the most. Adding uncertainty and expert confidence statements made the risk communication less clear, less easy to understand and increased concern. Above all, the technology for which risks are communicated and its acceptance mattered strongly: respondents in the shale gas condition found the identical risk communication less trustworthy and more concerning than in the DGE conditions. They also liked the risk communication overall less. For practitioners in DGE or shale gas projects, the study shows that the public would appreciate efforts in describing LPHC risks with numbers and optionally risk comparisons. However, there seems to be a trade-off between aiming for transparency by disclosing uncertainty and limited expert confidence, and thereby decreasing clarity and increasing concern in the view of the public."
Community Leaders' Perspectives on Shale Development in the New Albany Shale,2015,"ABSTRACTShale development, which uses the controversial energy extraction technique of hydraulic fracturing, is on the rise in America, with industries recently investigating the New Albany shale play in southern Illinois and western Kentucky. We ask: what do community leaders in this region think about shale development generally, and how do they come to their decisions? To answer these questions, we interviewed eighteen community leaders, twelve of whom were proponents of shale development. We show proponents speak on shale development as a positive by claiming 1) any jobs are beneficial for the community, 2) shale development is not different from other forms of extractive industry, and 3) information that criticizes shale development or hydraulic fracturing is untrustworthy. Proponents come to these ideas by conceiving of their leadership roles strictly as economic leaders, and by pointing to their personal history in their communities to best know what development their communities need.Shale development, which consists of extracting natural gas through hydraulic fracturing (commonly called fracking) is on the rise in America with corporations and energy companies reaching out to more parts of the country where naturally occurring gas or oil shale plays exist. Even with recent lower costs of conventional oil energy, thus reducing the monetary value of shale gas and oil itself, unconventional gas development is still a major focus of extractive industries (Jacquet 2014; Theodori et al. 2014).While scientists undertake more evaluations of the relative safety and sustainability of hydraulic fracturing compared with more conventional energy extraction methods such as coal mining or oil drilling, companies have begun establishing shale development plants across North America in several plays like the Bakken in North Dakota and Montana, Eagle Ford and Permian Basin in Texas, and Marcellus in New York and Pennsylvania. Recently, energy companies have focused on extracting energy from a new shale play: the New Albany, in southern Illinois and western Kentucky.While this development is exciting for energy companies, landowners who may gain income from leasing mineral rights to their land, and individuals concerned with a potentially more sustainable energy source in America, there have been many problems associated with shale development generally, and hydraulic fracturing particularly (Jacquet 2014; Jenner and Lamadrid 2013). Environmentally, issues include the extraction process's use of toxic chemicals possibly contaminating soil and water (Finkel, Hays, and Law 2013), improperly treated wastewater flowing into and permanently damaging existing water supplies needed for farming and drinking (Kargbo, Wilhelm and Campbell 2010), and the fact that the drilling process itself uses millions of gallons of water per fracture (Soeder and Kappel 2009), which might deplete small towns' local water supplies. Socially, communities that depend on extractive industries have higher rates of unemployment, instability, and crime (Jacquet 2014). Communities involved with shale development have reported higher rates of crime, increased road usage by semi-trucks, and lower levels of quality of life (Boudet et al. 2013). These issues indicate that there are both negative and positive consequences associated with shale development, which must be weighed by governmental community leaders.Acknowledging these issues, we ask: what do community leaders in the New Albany shale think of shale development? Furthermore, how do community leaders come to their conclusions? In this piece, we present findings on interviews with eighteen community leaders in the New Albany shale play, with twelve self-declared proponents of shale development. We find three themes used by these proponents to back their stance: 1) any jobs are beneficial for the community, 2) shale development is not different from other forms of extractive industry they have had in the past, and, perhaps most important, 3) they cannot trust any information that criticizes shale development. …"
Comparing the relationship between knowledge and support for hydraulic fracturing between residents of the United States and the United Kingdom,2016,"Our work examines the relationship between knowledge/familiarity with shale gas development in a comparative context. The United States (US) and United Kingdom (UK) represent very different cases of shale gas development, with development relatively mature in the US whilst, no extraction of shale gas has yet commenced in the UK. Comparing results from two national level survey efforts in 2014, we find higher levels of knowledge about the shale gas industry in the UK than in the US, as well as higher levels of support in the US (opposition levels were similar, but US respondents were much less likely than UK respondents to say that they did not know whether they supported or opposed development). With respect to the relationship between knowledge and support, increased knowledge in the UK is associated with increased support, while knowledge was unrelated to support in the US. We anchor these results within the information deficit model of science, suggesting that concentrated media and governance in the UK have played an important role in producing the demonstrated effects."
Consultation is not consent: hydraulic fracturing and water governance on Indigenous lands in Canada,2017,"The rapid increase in private sector proposals and permit applications to use water for the purpose of hydraulic fracturing has led to significant concerns in nearly every jurisdiction in the world where shale gas development has been explored. In addition to concerns about risks to water quantity and quality, in Canada, shale gas development has highlighted how the Crown (federal and provincial governments) continues to struggle in its approach to honor, respect, and uphold Nation-to-Nation relationships with Indigenous peoples. But moving beyond the criticism, we argue that these circumstances have provided a renewed opportunity to explore alternative governance approaches. Existing water governance challenges are exacerbated by historical injustices generated by resource management approaches that have exposed Indigenous nations to disproportionate environmental risks. Furthermore, the inadequacy of current water governance approaches to recognizing Indigenous rights, self-determination, ways of knowing, and values has been well established in literature relating to environmental governance and Indigenous peoples. Given these circumstances, if water is allocated to hydraulic fracturing in Canada with continued disregard for Indigenous rights and risks, we contend that this only further intensifies unjust environmental and cultural harm to Indigenous peoples. In the quest for solutions, we discuss the challenges to alternative models (co-management, collaborative governance, and impact benefit agreements) that are frequently cited in environment-Indigenous literature. We conclude with recommendations to address the unresolved challenges inherent in these governance models, in the interest of improving water decision-making. WIREs Water 2017, 4:e1180. doi: 10.1002/wat2.1180 For further resources related to this article, please visit the WIREs website."
Coupling system dynamics analysis and risk aversion programming for optimizing the mixed noise-driven shale gas-water supply chains,2021,"Abstract Water management has increasingly become a hotspot in shale gas supply chains. This study develops a comprehensive modeling framework for the mixed noise-driven shale gas-water supply chains, which is integrated with techniques of system dynamics model and two-stage stochastic risk-aversion programming. White and colored noises are used for addressing stochastic characterization of shale gas productivity. Regional water resources carrying capacity is reflected based on the system dynamics model. The developed model cannot only effectively address stochastic parameters in the objective and constraints, but also offer a linkage between the pre-regulated policies and corresponding economic implications raised from improper policies. A Marcellus-based case in Pennsylvania is then performed to validate the applicability of the developed model. Results reveal that shale gas production curve is more sensitive to colored and mixed noises than white noise. High flowback and recycle rates would increase carrying capacity of shale wells by 1.8% in 2023. An increase in weighting factor (e.g., from 0 to 30) would induce a rise in system cost (e.g., from $1.22×1011 to $1.34×1011) but a reduction in conditional value-at-risk value (e.g., from $6.83×1010 to $3.83×1010). Weighting factor thus can be served as an indicator to show how much the decision makers’ attention to system risk."
Cumulative environmental and employment impacts of the shale gas boom,2019,"Natural gas has become the largest fuel source for electricity generation in the United States and accounts for a third of energy production and consumption. However, the environmental and socioeconomic impacts across the supply chain and over the boom-and-bust cycle have not been comprehensively characterized. To provide insight for long-term decision making for energy transitions, we estimate the cumulative impacts of the shale gas boom in the Appalachian basin from 2004 to 2016 on air quality, climate change, and employment. We find that air quality impacts (1200 to 4600 deaths; $23B +99%/-164%) and employment impacts (469,000 job-years ±30%; $21B ±30%) follow the boom-and-bust cycle, while climate impacts ($12B to $94B) persist for generations well beyond the period of natural gas activity. Employment effects concentrate in rural areas where production occurs. However, almost half of cumulative premature mortality due to air pollution is downwind of these areas, occurring in urban regions of the Northeast. The cumulative temperature impacts of methane and carbon dioxide over a 30-year time horizon are nearly equivalent, but over the long term, the cumulative climate impact is largely due to carbon dioxide. We estimate that a tax on production of $2 per thousand cubic foot (+172%/-76%) would compensate for cumulative climate and air quality externalities across the supply chain."
"Deliberating the perceived risks, benefits, and societal implications of shale gas and oil extraction by hydraulic fracturing in the US and UK",2017,"Shale gas and oil production in the US has increased rapidly in the past decade, while interest in prospective development has also arisen in the UK. In both countries, shale resources and the method of their extraction (hydraulic fracturing, or ‘fracking’) have been met with opposition amid concerns about impacts on water, greenhouse gas emissions, and health effects. Here we report the findings of a qualitative, cross-national deliberation study of public perceptions of shale development in UK and US locations not yet subject to extensive shale development. When presented with a carefully calibrated range of risks and benefits, participants’ discourse focused on risks or doubts about benefits, and potential impacts were viewed as inequitably distributed. Participants drew on direct, place-based experiences as well as national contexts in deliberating shale development. These findings suggest that shale gas development already evokes a similar ‘signature’ of risk across the US and UK. Shale gas and oil production and prospective development are increasing, but methods for shale extraction (‘fracking’) have been met with opposition. This study shows that informed discourse around shale development focussed on risks or doubts about benefits in a similar manner across the US and UK."
Drilling into controversy: the educational complexity of shale gas development,2014,"Potential development of shale gas presents a complicated and controversial education problem. Research on human learning and our own experiences as educators support the conclusion that traditional, disciplinary-focused educational experiences are insufficient due to the nature of the concepts necessary for understanding the development of shale gas within the energy system as a complex, contextualized phenomenon. Educators engaging in communicating complex phenomena such as shale gas development can also increase sophistication of learner understanding by taking into account the sociocultural and psychological mechanisms that shape one’s understanding of the change processes at work. We therefore review an emerging body of research showing that nurturing environmental literacy requires more than the clear explication of evidence, and instead requires interrogating one’s existing worldview and comparing alternative options for action, as opposed to analyzing energy options in isolation. We then apply the results of this research to the challenging task of creating meaningful learning experiences and engagement with complex issues such as emerging energy systems and shale gas development in particular."
Eliciting public concerns about an emerging energy technology: The case of unconventional shale gas development in the United States,2015,"Abstract Development of shale gas resources using hydraulic fracturing has dramatically increased U.S. gas production, but also created new needs for risk analysis and governance. Risk analysis for an emerging technology has traditionally relied on experts with knowledge of the technology and its anticipated impacts. But today it is accepted that input from non-expert interested and affected parties (IAPs) is also essential. We present a novel method to elicit concerns from IAPs about the development of shale gas resources. We used an Internet-based snowball sample to identify IAPs and an open-ended prompt to gather their concerns. Reported concerns included potential consequences for environmental, social, and health systems, as well as hazards, hazardous events, precursors to hazards, risk amplifiers, and issues concerning the effective and fair governance of the risks. Some concerns raised have not been addressed in expert-led analyses of shale gas risks. Long-term consequences such as disruptions to economic activities, and governance issues such as regulatory capacity, were more prominent in the responses than in expert analyses. These findings show how engagement with interested and affected parties can elucidate key issues for risk governance in shale gas development. The method can also be applied to other emerging energy development issues."
Ensuring benefits from North American shale gas development: Towards a research agenda,2014,"Abstract The North American shale gas “revolution” provides tremendous opportunities, but our scientific understanding of this transition and its potential near- and long-term social, economic, and environmental impacts lags behind the rapid pace of change. Investors, policy makers, and other stakeholders need greater clarity to make robust decisions in today’s dynamic natural gas sector. A comprehensive, interdisciplinary research agenda can help inform these decisions."
Ethics and ‘fracking’: A review of (the limited) moral thought on shale gas development,2016,"Whilst claims about the ethicality of shale gas development via hydraulic fracturing (‘fracking’) are commonplace in everyday discourse, little scholarly attention has been afforded explicitly to this aspect of unconventional fossil fuel extraction. The limited research that speaks to ethical considerations largely describes ethical concerns associated with development – extremely few claims in research literature make an ethical case for development. The most common ethical concerns cited in research stem from issues of distributive justice, with procedural justice, the precautionary principle, exposure to involuntary risks, rights-based arguments, and changes in community character and way of life as next most common. Additional research hints implicitly at ethical dilemmas associated with shale gas development, but does not openly identify these issues as having moral implications. Many ethical considerations relate closely to concerns about water quality and the volume/supply of water available for other purposes. The limited scholarship in this area reveals the import of understanding the ways in which ethics permeate thoughts about shale gas development for designing policy that responds to constituent needs and concerns. Even more limited than research on ethical claims in association with shale gas development is well-reasoned scholarship that analyses the extent to which ethical claims about development are well justified and philosophically justifiable. A comprehensive and systematic analysis of the range of ethical claims potentially relevant to shale gas development and their usefulness for informing policy on this topic would contribute greatly to informed decision-making on this controversial issue – something that science alone cannot achieve."
"Facts, Fiction, and Perception in Hydraulic Fracturing: Illuminating Act 13 and Robinson Township v. Commonwealth of Pennsylvania",2014,"Hydraulic fracturing for oil and natural gas is perhaps the most polarizing energy issue in the United States and around the world, and Pennsylvania has emerged as an example of passionate views both for and against hydraulic fracturing for shale gas. To limit local government restrictions on gas drilling, the Pennsylvania legislature passed Act 13 in September 2012, and the Act largely eliminated the ability of local governments to restrict oil and gas operations through zoning. The Pennsylvania Supreme Court overturned Act 13 in December 2013. This Article reviews how Act 13 came to be, highlights the key provisions of the Act, and explains the various rationales used by the court to overturn the Act. The Article then takes a critical look at the Pennsylvania Supreme Court’s reliance on unsupported facts and illustrates how even well-meaning assumptions applied to highly complex issues can cause more harm then good. The Article further argues that the court did not sufficiently analyze the full scope of environmental impacts of Act 13 and the related natural gas output that would accompany it. After the court decided to engage in the environmental analysis (rather than deferring to the legislature on policy matters), a detailed fact-gathering and analysis process was warranted to avoid adopting common misconceptions as legal facts. To be clear, this Article does not argue that the court was wrong to question the potential environmental impacts of hydraulic fracturing. Instead, it argues that the court’s decision failed to consider the full host of potential environmental risks related to energy extraction and production, which provide necessary context when considering the proper way to manage the corpus of the public trust and enforce the environmental protections mandated by the Pennsylvania Constitution. The Article cautions that a majority of the court appears to have relied on “fracking distractions,” which are real social or environmental risks that are incorrectly, and inappropriately, linked with hydraulic fracturing. Despite the court’s laudable focus on environmental protection, the Article also argues that the decision could cause unintended problems beyond the natural gas industry, unless future courts read the case narrowly. The Article concludes that a more tailored version of Act 13 may be feasible and that a renewed commitment to determining and analyzing the full complement of pertinent facts related to hydraulic fracturing is warranted and necessary to minimize potential environmental and social harms and to maximize potential benefits."
Fair fracking? Ethics and environmental justice in United Kingdom shale gas policy and planning,2017,"ABSTRACTThe exploitation of shale gas resources is a significant issue of environmental justice. Uneven distributions of risks and social impacts to local site communities must be balanced against the economic benefits to gas users and developers; and unequal decision-making powers must be negotiated between local and central governments, communities and fracking site developers. These distributive and procedural elements are addressed in relation to UK policy, planning, regulatory and industry development. I adopt an explicitly normative framework of policy evaluation, addressing a research gap on the ethics of shale gas by operationalising Shrader-Frechette’s Principle of Prima Facie Political Equality. I conclude that UK fracking policy reveals inherent contradictions of environmental justice in relation to the Conservative Government’s localist and planning reform agendas. Early fracking policy protected communities from harm in the wake of seismic risk events, but these were quickly replaced with pro..."
"Fracking and metaphor: Analysing newspaper discourse in the USA, Australia and the United Kingdom",2019,"Abstract We apply a mixed-method design centred on the deployment of metaphors to explore the role that language plays in the structuring of the public discourses of unconventional hydrocarbon development (UHD) across three major developed economies. We analyse UHD-related metaphorical devices deployed in broadsheet newspapers in Australia, the UK and the USA between January 2006 and May 2018. We develop an innovative Type Hierarchy Approach to metaphors by mapping through directed graph hierarchies. These allow concept-mapping analysis in terms of supertypes and subtypes, i.e. concepts ordered in terms of generality and inclusion as in “rapid expansion” → “explosion”. We find two broad discourses, each containing metaphorical constructions: economic gain across temporal horizons (incorporating boom, bonanza, revolution and death metaphors); and risk tolerance and decision-making (incorporating gamble and insanity metaphors). At the level of individual metaphors, deployment trends and patterns can be mapped along country borders rather than for example political alignment. Boom and bonanza appear most widespread in the USA, whereas UHD as a revolution is more closely associated with UK newspapers. Over time, UHD-related metaphor use decreases in all three countries, potentially reflecting an increasing public acceptance of UHD and moving shale gas from unconventional to conventional hydrocarbon development."
Fracking and public relations: rehearsing the arguments and making the case,2013,"Large-scale shale gas reserves have recently been discovered under many parts of the UK. Although the UK government and the business community have been very keen to stress the economic benefits associated with the development of these resources, a range of environmental organisations and community groups are vociferously opposed to such development. With this in mind, this research note describes the characteristics of shale oil and hydraulic fracturing, outlines the initial developments within the UK, rehearses some of the principal arguments and claims on the perceived benefits and costs associated with the hydraulic fracturing of gas shale resources and offers a discussion on how the case for and against shale gas development is being made. The discussion suggests that local opposition groups are well organised and have been harnessing information and communication technologies and social media to good effect. Within the shale gas industry, there is a consensus that managing and turning round widespread negative public perceptions about shale gas development will be essential if shale gas resources are to be commercially exploited. Public relations and media companies will have a key role to play in achieving that goal, but they face a range of testing challenges if they are to be successful. Copyright © 2013 John Wiley & Sons, Ltd."
Fracking bad language : hydraulic fracturing and earthquake risks,2020,"Abstract. Hydraulic fracturing, fracking, is a well stimulation technique used to enhance permeability to aid geological resource management, including the extraction of shale gas. The process of hydraulic fracturing can induce seismicity and the risk of seismicity is a topic of widespread interest and is often reported to be an issue of public concern regarding hydraulic fracturing. This is particularly the case in the UK, where seismicity induced by hydraulic fracturing has halted shale gas operations, and triggered moratoria. However, there seems a disconnect between the level of risk and concern around seismicity caused by shale gas operations as perceived by publics and that reported by expert groups (from industry, policy, and academia), which could manifest in the terminology used to describe the seismic events (tremors, earthquakes, micro-earthquakes). In this paper, we examine the conclusions on induced seismicity and hydraulic fracturing from expert-led public facing reports on shale gas published between 2012 and 2018 and the terminology used in these reports. We compare these to results from studies conducted in the same time period that explore public views on hydraulic fracturing and seismicity. Further, we surveyed participants at professional and public events on shale gas held throughout 2014 to elicit whether they associate shale gas with earthquakes. We use the same question that was used in a series of surveys of the UK publics in the period 2012–2016, but we asked our participants to provide the reasoning for the answer they gave. By examining the rationale provided for their answers we find that an apparent polarisation of views amongst experts is an artefact and in fact responses are confounded by ambiguity of language around earthquake risk, magnitude, and scale. We find that different terms are used to describe earthquakes, often in an attempt to express the magnitude, shaking, or risk presented by the earthquake, but that these terms are poorly defined and ambiguous and do not translate into everyday language usage. Such “fracking bad language” has led to challenges in the perception and communication of risks around earthquakes and hydraulic fracturing, and leaves language susceptible to emotional loading and misinterpretation. We call for multi-method approaches to understand perceived risks around geoenergy resources, and suggest that adopting a shared language framework to describe earthquakes would alleviate miscommunication and misperceptions. This work is relevant for a range of applications where risks are challenging to conceptualise and poorly constrained; particularly those of public interest where language inconsistency can exacerbate communication challenges and can have widespread consequence."
