titulo,ano,abstract
Delaying decarbonization: Climate governmentalities and sociotechnical strategies from Copenhagen to Paris,2020,"Abstract An era (2005–2015) centered around the Copenhagen Accord saw the rise of several immature sociotechnical strategies currently at play: carbon capture and storage, REDD+, next-generation biofuels, shale gas, short-lived climate pollutants, carbon dioxide removal, and solar radiation management. Through a framework grounded in governmentality studies, we point out common trends in how this seemingly disparate range of strategies is emerging, evolving, and taking effect. We find that recent sociotechnical strategies reflect and reinforce governance rationalities emerging during the Copenhagen era: regime polycentrism, relative gains sought in negotiations, ‘co-benefits’ sought with other governance regimes, ‘time-buying’ or ‘bridging’ rationalities, and appeals to vulnerable demographics. However, these sociotechnical systems remain conditioned by the resilient market governmentality of the Kyoto Protocol era. Indeed, the carbon economy exercises a systemic structuring condition: While emerging climate strategies ostensibly present new tracks for signalling ambition and action, they functionally permit the delaying of comprehensive decarbonization."
Energy Security or Energy Governance? Legal and Political Aspects of Sustainable Exploration of Shale Gas in Poland.,2014,"This paper analyses prospects for an institutional structure to govern and ensure environmentally sustainable exploration of unconvent ional (shale) gas in Poland. Shale gas developments in the United States (US) ignited a widespread policy and law deba te in Europe about the prospects of emerging fuel. In Poland, the debate has developed particular ly high expectations on both the Government and the Public’s side, ascribed to future exploratio n and production of unconventional gas from shale formations. To ensure a balance between ener gy security prerogatives and resource governance responsibilities, Warsaw has sought to organise a t op-down approach to shale gas exploration in Poland with an enhanced role-playing of the Govern ment and its respective Ministries, particularly the Ministry of Environment in absence of an Energy Mini stry proper. What can be referred to as a state- centric model toward exploration of shale gas, the Polish case study evidences opportunities as well as challenges in replicating the US’s revolutionary g as production developments and it continues to have an impact on embryonic structure of energy govern ance in Poland. Utilising theories of politicisation and governance, the paper argues that the state-cen tric approach to the emerging resource may be inadequate to initiate a large-scale energy security change the country longs for. The state-centric approach and lack of a robust le gal framework may have been the ke y challenges to the rise of shale gas momentum which peaked in early 2010s. Exodus of key commercial actors from the Polish market in the last couple of years may harbinger inevita ble decline of future shale gas exploration and production as much needed financial and t echnological stimulus may be lacking."
Enhancing the energy security and governance of shale gas,2014,"Many assessments of the promise and pitfalls to shale gas development are incomplete. They tend to focus primarily on the benefits for electricity generation and gas producers, and therefore only address in a limited way the impact shale gas has on wider issues such as energy security and stewardship. We expand on the existing literature by considering a broad treatment of the energy security needs of the United States and other countries. We find that with the proper safeguards in place-public disclosure, sound water management, continuous evaluation and stakeholder engagement, selectivity ..."
Environmental Disputes and Opportunity-Threat Impacts Surrounding Natural Gas Fracking in Louisiana:,2014,"Despite the increasing socioenvironmental controversy over the use of horizontal drilling and hydraulic fracturing technology in unconventional natural gas development (i.e., fracking), few sociological studies have used citizen interview narratives to examine attitudes toward shale fracking at the local level. Drawing on sociological research, discursive documents, and in-depth interview data collected from regional stakeholder groups/citizens, this article offers a qualitative analysis of the environmental disputes and opportunity-threat impacts perceived to surround natural gas exploration and hydraulic fracking in the Haynesville Shale region of Louisiana. The narratives reveal that the fracking dispute largely revolves around divergent diagnostic and prognostic beliefs about shale gas development, as well as whether the perceived economic opportunities of development outweigh the alleged socioenvironmental risks to the Haynesville community. Some conclusions about the utility of qualitative research ..."
Environmental Justice and Land Use Conflict: The governance of mineral and gas resource development,2017,"Conflict over the extraction of coal and gas resources has rapidly escalated in communities throughout the world. Using an environmental justice lens, this multidisciplinary book explores cases of land use conflict through the lived experiences of communities grappling with such disputes. Drawing on theories of justice and fairness in environmental decision making, it demonstrates how such land use conflicts concerning resource use can become entrenched social problems, resistant to policy and legal intervention. The author presents three case studies from New South Wales in Australia and Pennsylvania in the US of conflict concerning coal, coal gas and shale gas development. It shows how conflict has escalated in each case, exploring access to justice in land use decision making processes from the perspective of the communities at the heart of these disputes. Weaknesses in contemporary policy and regulatory frameworks, including ineffective opportunities for public participation and a lack of community recognition in land use decision making processes, are explored. The book concludes with an examination of possible procedural and institutional reforms to improve access to environmental justice and better manage cases of land use conflict. Overall, the volume links the philosophies of environmental justice with rich case study findings, offering readers further insight into both the theory and practice of land use decision making."
Fracking in a fractured environment: Shale gas mining and institutional dynamics in South Africa’s young democracy,2018,"Abstract This paper situates the question of shale gas mining in South Africa within broader debates on policy co-ordination within governmental systems. The prospect of shale gas mining has posed severe challenges for the complex inter-governmental system in South Africa. Three key Departments are affected by possible shale gas mining: Mineral Resources, Environmental Affairs and Water Resources. Each of these Departments have different relationships with the provincial and municipal ""spheres of government"". The Department of Mineral Resources has attempted to promote shale gas mining with no reference to municipalities, whereas the other two Departments have attempted to build up municipal capacity. Municipalities have key functions which are protected in the Constitution. However, many municipalities are weak institutions, unwilling to defend their powers. The paper examines Municipal Integrated Development Plans in the potential shale gas region. Most municipalities seem to have no awareness at all of the shale gas issue. Recently, a High Court ruled that any shale gas mining regulations must be made by the Department of Environmental Affairs. With its more decentralist approach to governance, it will mean that municipalities will have more opportunities to participate in shale gas mining decisions."
Fracking the Debate: Frame Shifts and Boundary Work in Dutch Decision Making on Shale Gas,2017,"The meaning of hydraulic fracturing for shale gas is contested worldwide: is it an energy game changer, a transition fuel, or a technology that poses severe environmental problems? In the Netherlands, a policy controversy developed in which fracturing was reframed from ‘business as usual’ to a potential environmental risk. This article theoretically and empirically describes this shift by arguing that the technology of hydraulic fracturing for shale gas is a boundary object that created a sphere of engagement for all sorts of actors. In this sphere, they negotiated a common but soft meaning of this technology. These negotiations consisted of frame contests. As part of those contests, the discursive strategies of framing and boundary work enabled opponents to create uncertainty about economic benefits and environmental impact. The shift in meaning transformed the issue from an economic one with standard governmental rules and regulations into a planning issue that needs more precaution."
"Fracking, Federalism, and Private Governance",2014,"The United States is in the midst of a natural gas boom, made possible by advances in drilling and extraction technologies. There is considerable disagreement about the relative benefits and costs of the boom, but one thing is certain: it has caught governments flat-footed. The federal government has done little more than commission a study of some associated public health and environmental risks. States have moved faster to address natural gas risks, but with little consistency or transparency. Numerous private organizations are beginning to fill the resulting governance gaps with information-gathering and standards-setting efforts. This Paper documents these efforts and then uses a concrete policy proposal — the development of sustainable shale gas credits — to argue that these private entities are well positioned to facilitate the development and horizontal and vertical diffusion of innovative public governance strategies. In other words, these entities are fulfilling the experimentation function once assigned to states in so-called “laboratory federalism.” The Paper ends on a cautionary note, however. Private governance efforts often suffer from a lack of openness, balance, and accountability. Worse, there is reason to fear that familiar procedural reforms aimed at fixing those problems for public agencies may work far less well in the private context."
Fractured politics? The comparative regulation of shale gas in Europe,2018,"ABSTRACTEuropean countries have developed strikingly different responses to shale gas and fracking. Some have imposed outright bans, while others have issued permits and even awarded generous tax breaks to the industry. To explain this puzzling variance, this article builds a theoretical framework that focuses on energy security, economic competitiveness, the party composition of government, public opinion, multilevel governance and democratic tradition. It then conducts a qualitative comparative analysis (QCA) of the regulation of shale gas in 16 European Union member countries. We find that the level of public concern is a sufficient condition for restrictive regulation. Other conditions only work in combination with others, while energy security and democratic tradition have no impact on the regulation of shale gas and fracking. The findings indicate that the uptake of shale gas is not simply a function of structural factors such as geology or population density, but rather the result of political factors."
Framing Shale Gas for Policy-Making in Poland,2017,"AbstractDespite enthusiasm about new gas reserves, shale gas has not come to Poland without controversies. This study examines how shale gas has been framed as a public issue by political and business elites, experts, local communities and civil society organizations. Through a frame analysis, we found three main frames about shale gas: shale gas as a novel economic resource, as a strategic resource for energy security and as a threat. However, only the first two frames, proposed by political and business elites, have shaped the policy process. The third frame, constructed by local actors and civil society groups, has had minimal impact. We explain this exclusion drawing on the deficit model of risk communication. This approach reveals that Polish experts, and business and political actors, during their interactions with local groups, have framed proponents of the threat frame as ‘incompetent actors’ effectively excluding the threat frame from policy processes."
Gas security in the land of insecurity: governance challenges of shale gas development in Mexico,2017,"This article identifies the governance challenges of shale gas development. Mexico has vast shale gas reserves and production and exploration of natural gas were liberalised after the energy reform was adopted into law in 2014. This reform established the governing system that will rule the upstream oil and gas sectors. This governing system consists of a regulatory setting composed of federal institutions that lack human resources specialising in shale development. In early 2018, the first competitive bidding process for shale fields will be conducted. The local communities have not yet been consulted and cannot fully oppose shale development in their land. The production of shale gas on a commercial scale could help Mexico achieve security of gas supply under increasing demand for gas in oil and electricity production and increasing gas imported from the United States. However, some of the largest shale reserves are located within states characterised by high levels of violent crime and increasing retur..."
Governance of Unconventional Gas in Bulgaria: From Exploration to Bust,2014,"The story of Bulgarian shale gas exemplifies the difficulty for the unconventional gas industry to take a hold in Europe. This paper investigates the reasons for Bulgaria banning shale gas by disentangling the various domestic causes at work. We find the failure of shale gas exploration to progress in Bulgaria is attributed to two main drivers: material factors such as the government's interest in staying in power; and process related drivers, notably a highly centralized politically controlled decision making structure and a flawed policy process. Central to the discussion is the alienating of local level municipalities thus making them politically resistant to national level dictates. Interestingly, the protest movement resonated in both the environmental realm and geopolitical sphere, with policy agendas partially overlapping with those of Gazprom, the dominant foreign actor in Bulgaria’s energy system. The fate of Bulgarian shale gas therefore offers broader lessons on the governance of shale gas, for Central Eastern Europe and beyond."
"Governing Shale Gas : Development, Citizen Participation and Decision Making in the US, Canada, Australia and Europe",2018,"Shale energy development is an issue of global importance. The number of reserves globally, and their potential economic return, have increased dramatically in the past decade. Questions abound, however, about the appropriate governance systems to manage the risks of unconventional oil and gas development and the ability for citizens to engage and participate in decisions regarding these systems. Stakeholder participation is essential for the social and political legitimacy of energy extraction and production, what the industry calls a 'social license' to operate. This book attempts to bring together critical themes inherent in the energy governance literature and illustrate them through cases in multiple countries, including the US, the UK, Canada, South Africa, Germany and Poland. These themes include how multiple actors and institutions – industry, governments and regulatory bodies at all scales, communities, opposition movements, and individual landowners – have roles in developing, contesting, monitoring, and enforcing practices and regulations within unconventional oil and gas development. Overall, the book proposes a systemic, participatory, community-led approach required to achieve a form of legitimacy that allows communities to derive social priorities by a process of community visioning. This book will be of great relevance to scholars and policy-makers with an interest in shale gas development, and energy policy and governance."
"Hydraulic Fracturing (Fracking), Federalism, and the Water-Energy Nexus",2013,"While the actual and potential water impacts of hydraulic fracturing (“fracking”) are well-known and the subject of sometimes intense scholarly debate, few discussions to date have situated fracking within the larger legal and policy conundrum known as the water-energy nexus. This nexus acknowledges that, just as water supply and energy production are mutually dependent, so water policy and energy policy should also develop in tandem. Thus, the water-energy nexus demands that regulators view fracking’s intersections with water resources as more than “merely” an environmental law problem.Developing water policy and energy policy in tandem, however, raises federalism issues that are relevant to the United States’s increasing reliance on fracking and shale gas to supply its natural gas needs. Fracking has already been the subject of serious federalism debates, but these debates have generally focused on whether an individual state or the federal government is the more appropriate regulator of fracking and its environmental impacts — i.e., the debate has concentrated around issues of how to fit fracking into more traditional governance structures for on-shore energy development, water resource management, and environmental regulation, all of which suggest that states should be the primary regulators. Viewing fracking through the lens of the water-energy nexus, however, both adds a broader context to this federalism debate and suggests that fracking should constitute both a significant focus of and potential testing ground for the increasing federal interest in integrating water management and energy policy."
Hydraulic fracturing as an interpretive policy problem: lessons on energy controversies in Europe and the U.S.A.,2017,"ABSTRACTThis special issue addresses hydraulic fracturing for shale gas extraction as an interpretive policy problem. Bringing together empirical cases from the U.S.A., the Netherlands, the U.K., Poland, and Germany, we identify three approaches to the interpretation of hydraulic fracturing in the article: understanding its meaning, contextual explanation of the institutionalization of its meaning, and policy design as intervention to alter its meaning. By exploring differences and similarities across these cases, we identified two central tensions in the meaning of shale gas in all cases: (1) economic opportunity or environmental threat and (2) transition toward a more carbon-free energy future or perpetuation of a fossil fuel system. We found that when actors shift the meaning of hydraulic fracturing to consider it predominantly an issue of threat, this explains the dominance of risk governance as an approach to managing the controversy. Alternately, when the meaning of fracking shifts from consideratio..."
Impacts of German energy policies on the competitiveness of national energy intensive industries,2013,"The aim of this paper is to assess the impacts of German energy policies on the competitiveness of national energy intensive industries. The basic idea behind our analysis is that energy policies in Germany create a certain electricity market structure resulting in a certain electricity price, which is a major determinant for the competitiveness of energy intensive industries (e.g. chemicals, paper, aluminum, iron and steel) as energy and electricity constitute a large share in manufacturing costs. The electricity price is the outcome of supply and demand decisions of producers and consumers, with a major supply determinant being the electricity generation technology portfolio. Suboptimal investments within this portfolio are supposed to raise the electricity price and deteriorate the competitiveness of German energy intensive industries. As competitiveness is a relative concept and all world regions are connected via trade, especially in manufacturing, competitiveness occurrences in Germany have direct implications for the competitiveness of energy intensive industries in other European countries, China or the U.S. Our analysis has been motivated by the current discussion about future investment needs of large gas power plants in Germany. Currently, they are crowded out of the electricity market by extensive renewable energy promotion under the German renewable energy law (EEG). This phenomenon is known as the merit-order-effect (Sensfus et al., 2008). Though, this kind of substitution between electricity generation technologies is in part a desired outcome of that energy and climate policy. But this instant potentially affects the security-of-supply-goal of German and European energy policy, particularly in periods with a low feed-in of renewable energies (high residual load). Gas power plants, like gas turbine or combined cycle gas turbine (CCGT) plants, are essentially employed in periods with a high residual load, because they are the most flexible in terms of adjusting power level (load-following), which is a valuable feature in times of fluctuating wind and solar power. However, gas power plants typically exhibit the highest marginal costs of non-renewable power plants. This poses the question whether the current energy-only market works correctly or not, i.e. whether the electricity price reflects scarcity of peak-load or load-following capacities sufficiently. If it does, investments in gas power plants are redundant, even in periods with a high residual load. If not, the marginal cost based price would be too low to cover the high investment costs (“missing money” problem). Scarcity could lead to temporary price spikes or even blackouts, if grid restrictions rule out electricity imports from other areas. In that case other mechanisms, such as capacity markets, would be needed to also remunerate capacity provision for peak-load or load-following capacities (cf. Finon & Pignon, 2008). In addition, more and more electricity generation takes place in a decentralized manner. Combined heat and power (CHP) plants and self-supply of industry could reduce the need for large gas power plants. It is not clear what this trend means for the average electricity price. In general, large centralized power plants exhibit lower unit costs of electricity generation compared to distributed generation, owing to economies of scale and higher efficiencies. Nevertheless, we are not following the discussion on this kind of issues here. Rather, we take them as a starting point for our analysis and hypothesize that there is underinvestment of large gas power plants. We ask how this specific energy policy situation in Germany affects the average electricity price and how this consequently impacts on the competitiveness of the energy intensive industries in Germany. This is a central question, because manufacturing has become an important determinant for Germany’s recent macroeconomic resilience. Consequently, there is a discussion whether energy intensive industries should be exempted from certain policies in order not to harm their competitiveness. Besides, energy intensive industries also manufacture substantial components for renewable energy technologies (e.g. steel for wind turbines). Evidence on the significance of energy costs for the placement of manufacturing facilities is also given by recent shale gas and oil discoveries in the U.S. and subsequent energy price falls, which have attracted U.S. companies to move their international manufacturing operations back to the U.S. (The Economist, 2013). In a globalized economy, changes of national competitiveness will affect other countries’ competitiveness. We therefore ask who benefits most from the occurring competitiveness shifts and which of the energy intensive sectors is especially affected. For our global economic analysis, a worldwide macroeconomic model is needed, which represents a closed circular flow of income. Therefore we use the NEWAGE model from IER Stuttgart, which is a global multi-sector computable general equilibrium (CGE) model with a detailed representation of the energy sector and disaggregated electricity generation technologies. Due to the total analytical framework of the general equilibrium approach, the interaction of actors on markets of the economy is described in a closed circular flow of income. This allows capturing both direct effects in individual sectors (e.g. electricity) as well as indirect effects (feedback effects) across the economy that are caused by price-induced supply and demand shifts in response to any political intervention. The basic assumption of the general equilibrium approach is perfect competition on all factor and goods markets. Firms buy production factors and sell goods following cost minimization. Consumers buy these goods using their income from selling the production factors following utility maximization. The government imposes taxes and grants subsidies following guidance and fiscal objectives. The equilibrium system is solved for the variables prices, production levels and income. The NEWAGE model is based on the GTAP database and maps the global economy into 10 countries/regions and 16 sectors. The production of goods in the 16 sectors is modeled with CES (constant elasticity of substitution) production functions, where output is produced as a combination of the input factors capital, labor, energy and materials. The degree to which inputs can be substituted for each other is determined by the respective elasticities of substitution, which are based on technical assumptions or taken from the literature. CO2 allowances are an additional input if fossil fuels are used. The assumption of perfect competition may be waived in special markets, as is done for the labor market in NEWAGE to reflect imbalances existing on real labor markets. Therefore, the model considers unemployment, wage rigidities and different grades of labor qualifications (skilled, unskilled). The dynamic approach is recursive-dynamic applying 5-year milestones from 2010 to 2030. Competitiveness can be measured by different indicators, such as trade balance or trade volume per sector and country, or more complex concepts, such as the Relative World Trade Share (RWS) or the Revealed Comparative Advantage (RCA) (see Klepper & Peterson, 2008). The RWTS relates the share of national exports and world exports of a sector to the share of total national and total world exports. The RCA relates the national terms-of-trade of one sector to the total national terms-of-trade. The changes in these indicators reflect the production shifts as a result of changes in the input cost structure of the energy intensive industries, i.e. their competitiveness. For analyzing the impacts of possible underinvestment of large gas power plants on the electricity price in Germany and the competitiveness of national energy intensive industries we conduct scenario analysis in a two-stage approach: 1) Effects of underinvestment in large gas power plants on the electricity price (average price) 2) Effects of electricity price changes on sectoral and national competitiveness of energy intensive industries The first step is to fix the production from new gas power plants to the value of 2010, meaning that there are no further investments than already in place. Then we assess the implications of this constraint for the German electricity price and, as a second step, assess the implications of the electricity price change for the competitiveness of the energy intensive industries in Germany and worldwide. We evaluate these experiments against a reference scenario from 2010 to 2030 where moderate gas power investments still occur, even though there is renewable energy promotion via feed-in tariffs. We calculate impacts for all of the above mentioned competitiveness indicators to check for robustness. The effects are measured in a relative manner, which enables us to control for the arbitrary assumptions of the reference scenario and isolate competitiveness effects. This means that we conduct our analysis producing relative, not absolute results regarding physical or monetary units. Within the general equilibrium approach we are able to capture global adjustment processes responding to the impulse of single sectoral or national policy interventions. Our results indicate which countries in the world profit from these energy constraints in Germany, and which of the energy intensive sectors is particularly affected."
In Search of the Legal Basis for Environmental and Energy Regulation at the EU Level: The Case of Unconventional Gas Extraction,2014,"The relation of the energy and environmental competences in the European Union (EU) in terms of renewable energy and its promotion and impact on climate change has been subject to intense academic discussion as well as to judicial review. The general tendency is for measures regarding renewable energy to be passed on both competences, depending on the specific content and objective. Other forms of energy, however, have not been included in this debate. The outcome outside the area of renewable energy is expected to be quite different. Shale gas extraction, for example, is associated with negative, or at least problematic, environmental impacts, alongside the benefits it offers to the security of the EU's energy supply. Consequently, the question of competence is not straightforward. This article analyzes the interplay and conflicts between the energy and environmental titles of the Treaty on the Functioning of the European Union in the context of shale gas activities. The article further explores the importance of ‘significance’ in this setting, and how this concept is crucial in determining the appropriate decision-making procedure to pass a legal measure on shale gas in practice."
"Lagging and Flagging: Air Pollution, Shale Gas Exploration and the Interaction of Policy, Science, Ethics and Environmental Justice in England.",2020,"The science on the effects of global climate change and air pollution on morbidity and mortality is clear and debate now centres around the scale and precise contributions of particular pollutants. Sufficient data existed in recent decades to support the adoption of precautionary public health policies relating to fossil fuels including shale exploration. Yet air quality and related public health impacts linked to ethical and environmental justice elements are often marginalized or missing in planning and associated decision making. Industry and government policies and practices, laws and planning regulations lagged well behind the science in the United Kingdom. This paper explores the reasons for this and what shaped some of those policies. Why did shale gas policies in England fail to fully address public health priorities and neglect ethical and environmental justice concerns. To answer this question, an interdisciplinary analysis is needed informed by a theoretical framework of how air pollution and climate change are largely discounted in the complex realpolitik of policy and regulation for shale gas development in England. Sources, including official government, regulatory and planning documents, as well as industry and scientific publications are examined and benchmarked against the science and ethical and environmental justice criteria. Further, our typology illustrates how the process works drawing on an analysis of official policy documents and statements on planning and regulatory oversight of shale exploration in England, and material from industry and their consultants relating to proposed shale oil and gas development. Currently the oil, gas and chemical industries in England continue to dominate and influence energy and feedstock-related policy making to the detriment of ethical and environmental justice decision making with significant consequences for public health."
